Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20753.52765,22429.28944,23484.26826,25024.82762,26786.14595,27192.7075,27183.85273,28718.55742,28743.50906,28656.0962,30746.65275,32184.2193,31988.30307,32657.89238,35653.53767,36264.43537,37365.05519,39080.46601,40059.85715,35169.78535,34230.32509,35780.24974,34786.59399,36932.18416,36846.84829,37343.91296,37583.84032,38865.1882,41685.36332,42510.06559,35012.39147,42887.37491,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815.978712,1828.754269,1788.432347,1780.710165,1806.24281,1877.358688,1964.247996,2032.333122,2041.838395,2076.266411,2141.924134,2213.345822,2276.889642,2336.877959,2469.643518,2635.508426,2821.724892,3009.560746,3120.481089,3079.319137,3188.306304,3293.825964,3209.183093,3334.654696,3471.665125,3498.864893,3592.092621,3635.259642,3724.994882,3778.210236,3624.820674,3858.004651,4169.019532
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.116265,970.6451147,971.8110235,1075.671373,1120.893128,1287.0644,1336.210339,1575.316779,1771.197985,1749.936995,1958.447627,2062.059176,2110.829568,2128.125938,2023.834656,2096.093111,2110.239384,2168.133765,2078.595086,1673.964059,
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.455212,1783.7672,1821.425786,1797.500006,1787.580506,1815.604102,1884.971556,1948.552189,1987.333852,1993.681722,2055.820312,2151.288477,2323.79638,2431.74846,2619.8826,2780.208532,2936.19419,3090.500507,3255.169475,3378.281969,3552.148911,3699.549044,3802.060003,3952.023188,4144.259662,4077.321424,4003.756559,4051.271199,4161.782756,4267.050522,4179.632366,4429.952133,4798.434519
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3283.170843,3315.70892,3091.201342,2330.662325,2336.379068,2654.402791,2968.586576,3133.186154,3210.082309,3220.724746,3285.953416,3388.148688,3782.892225,3839.572827,4223.637787,4835.669522,5364.437663,6056.779187,6615.114983,6471.284879,6586.465819,6700.1141,7389.31496,7643.921944,8123.048065,7274.090475,7027.146634,7216.061373,7043.95536,6882.279123,6367.437317,6523.463613,6973.696299
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549.746801,1909.31916,1823.503609,2057.692048,2290.143917,2666.081951,2980.418871,2717.684701,3021.179604,3471.646616,3861.333006,4300.222735,4661.402695,5000.295651,5427.767129,5865.291354,6565.633374,7284.166538,8228.354576,8813.51676,9628.640112,10207.75946,10526.25011,10570.96604,11259.30368,11658.8949,12078.79933,12770.99186,13498.18461,14407.43765,14064.03861,15532.70606,18551.71648
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6678.961664,7270.293512,7616.113156,7808.900104,7989.340218,8170.666941,8496.554152,8816.552921,9197.186502,9305.097265,9928.153818,10093.20607,10062.97395,10461.54912,11477.45235,12193.16266,12965.70144,13533.27355,14181.80014,13963.38259,14442.51944,14998.34563,15937.90917,15880.31143,15625.49213,14145.34689,13712.36011,14332.35352,14766.67779,14967.11576,14220.79783,15167.26066,16913.65304
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83843.22468,82712.81391,82972.00615,81868.51165,85325.00584,88932.30078,90644.59112,93461.25054,89110.14439,87692.02493,94015.70919,92431.19149,91407.18412,96633.02264,103821.8314,104732.0537,103625.976,91608.32222,80959.46072,67508.58601,65411.94004,70619.31585,74853.5751,75877.99796,78859.08912,69705.70486,68853.81977,71182.37072,73270.67158,74826.51842,71458.63852,76948.3275,87729.19126
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7183.583826,7990.188004,8699.39508,9506.505431,10138.68165,9925.129895,10531.84582,11444.47406,11880.48063,11506.69888,11542.986,11159.32992,9990.720222,10974.32417,12162.33747,13513.67029,14896.73354,16510.44824,17336.93282,16249.73013,18063.91434,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23294.09868,23007.83659,20787.85787,23754.36139,26504.59056
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.573324,2473.873548,1490.351937,1438.588508,1587.042988,1758.673557,1909.642681,2023.94715,2217.057854,2347.5021,2572.42082,2915.455786,3382.060324,3958.329986,4518.262746,5339.901702,6274.028207,7380.23154,8097.305007,7045.330725,7331.386504,7881.771735,9267.397006,9822.947441,10114.93984,10132.31898,10966.85333,12509.63961,13549.52242,14924.77693,14105.91125,15661.51135,18941.52681
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11436.01697,12021.99725,12241.23488,12957.56785,13857.29538,13268.75967,14115.16624,14842.26025,15426.14172,15949.04344,17037.38088,16375.81339,16588.60751,17741.65867,19057.16949,20684.03186,23727.11921,26274.2614,26377.15575,23015.87444,21175.38331,20939.33127,20208.93929,19437.61697,19748.62538,19674.5633,20790.41917,20777.5595,22603.19287,23880.22127,19839.92559,21958.68871,25336.6426
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17381.44001,17836.174,18254.35789,19216.56619,20170.95768,21037.22417,22130.47745,23123.42686,24377.41786,25468.21831,26521.0784,27626.05997,29016.67834,30106.2907,31746.53245,33018.16322,34822.97516,36628.96879,37517.85385,40306.64278,39363.61806,42018.11794,42847.29675,45907.75468,46882.18557,46251.40868,47249.43482,48400.24579,50192.95733,51909.0151,53066.49099,55947.05223,62625.35764
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19473.08196,20617.58298,21293.26486,21732.87109,22642.84773,23698.10913,24560.62401,25426.66281,26675.65024,27606.48303,29381.68488,29708.49357,31178.69333,32145.87051,33774.01809,35013.71404,37659.73297,39435.60574,41316.22518,40918.5201,42007.29375,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56937.94428,59704.22338,57258.69023,59962.82705,67935.84797
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253.446608,5321.810994,4149.746606,3217.651495,2603.601929,2317.590695,2366.638154,2522.628371,2779.615527,3000.925057,3381.66621,3770.852287,4159.940563,4639.794426,5159.859411,6740.424063,9243.497646,11732.84149,12969.20038,13972.59478,14678.77374,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14551.20011,15054.54461,14495.65697,15927.21015,17764.44559
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.3716475,648.3308671,652.5122225,647.4770436,632.4249539,559.8362994,524.6810684,525.8317273,546.7198398,535.9623371,532.4259199,542.0301902,559.1123373,545.7755393,566.0916315,567.7007004,595.2055657,609.5935955,625.2437396,620.8967338,630.358193,646.1031275,651.9523273,696.4970002,728.8700603,797.0501141,766.5872206,750.7876163,758.2490316,760.6041261,751.2009119,787.9427787,836.187569
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18688.64674,19601.8239,20272.98859,20473.78684,21519.33807,22447.4638,22744.69966,23732.22107,24369.48672,25440.84119,27789.94355,28793.61105,30282.28865,30934.4414,32063.26079,33177.89095,35256.92838,36795.84715,37883.33194,37749.90919,39838.04051,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52530.56208,55804.81892,54569.92539,58840.70227,65027.2949
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.214582,1275.135741,1302.24048,1349.490345,1354.590804,1436.737626,1487.598078,1554.145493,1584.965406,1642.173165,1724.54671,1802.324598,1858.766765,1902.502923,1979.292899,2011.396677,2090.284255,2210.79271,2294.869878,2294.602793,2302.687791,2350.356452,2427.432659,2590.925045,2745.858612,2792.609645,2901.264671,2933.837384,3113.254929,3290.307202,3364.973218,3665.194028,4056.108341
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.6301463,625.1781954,625.3228272,646.0470734,651.8797993,685.7886884,755.7081414,796.5891492,840.9844308,889.501251,899.5848205,951.314407,977.6685185,1041.898563,1083.249313,1176.357297,1248.873042,1295.467117,1356.372196,1364.895645,1454.578747,1536.808944,1568.066859,1629.317836,1637.928051,1657.916107,1833.433053,1978.155012,2100.530924,2199.552506,2211.01144,2405.306118,2545.863549
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.9480034,1028.28859,1088.740137,1144.970833,1191.835185,1255.48763,1313.073938,1370.959718,1431.061897,1490.19028,1574.33157,1659.711356,1717.970062,1803.138153,1916.452038,2074.011585,2253.209817,2451.542213,2625.406359,2751.217878,2906.05192,3119.929973,3493.922821,3734.725651,3997.286701,4216.719739,4558.563895,4830.776083,5247.694707,5699.078147,5904.567375,6522.555841,7395.095987
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7551.608011,7218.801734,6920.28479,7035.351266,7341.107689,7743.443229,6848.9937,5750.511715,6177.940847,5807.791822,6422.832771,6960.083304,7786.448422,8417.38546,9201.565675,10291.42387,11406.48595,12820.80999,14346.89554,14181.94966,14956.35731,15747.0796,16327.85847,16647.00987,17616.95407,18391.89681,20074.26479,21469.97089,23016.0668,25170.216,25296.07094,28113.11723,33582.28261
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25731.16492,28594.09183,30129.96237,33643.63046,33149.57425,34045.39428,34962.95671,35548.65614,36559.27645,37570.91678,39360.43209,40186.94531,41161.56258,42900.81335,44006.71276,44780.11567,45651.59194,47380.16645,48078.84387,46708.73586,47929.44346,49960.26787,53778.48867,53672.10422,52073.98462,45900.70303,45281.30192,48929.44701,50114.15039,51879.73634,50682.75956,54901.51263,61227.89722
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20002.75661,19428.35729,18710.033,18799.7135,19412.8419,20303.99755,21168.88097,22625.88317,21487.98216,24076.66587,25269.61806,26146.22462,26914.60364,26739.43188,27328.29886,28747.16311,29961.36791,30779.69457,30207.95564,28715.57196,29095.48467,29512.32003,30169.90909,29845.70229,31255.21127,31746.80338,32112.20389,34067.84618,35167.3995,35299.11149,27224.47086,33162.26543,40378.55175
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.2494737,1166.999433,2155.164607,2844.360969,3270.700345,3601.9815,4127.638087,4290.625762,4653.131647,4911.659964,5405.608803,5959.024831,6878.345574,7696.151728,8595.825651,8698.947153,9089.136145,9758.0219,10109.40069,10788.26808,11148.38783,11826.06601,12869.7684,13582.18475,14801.263,16118.6668,15860.10452,17705.80698,20376.89219
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5226.139654,5335.578804,4922.457216,4645.893574,4194.881094,3849.897233,4043.749905,4601.503085,5066.942837,5337.01584,5801.75813,6244.747744,6704.592279,7369.845906,8491.894839,9647.121181,11006.45591,12332.50292,13898.99968,14050.57156,15361.83171,16563.20141,18105.28672,18994.19019,19007.99732,18095.70342,17785.9432,18356.06606,19430.90921,20106.06891,20317.23192,21928.68576,22590.59092
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4531.423662,5112.745342,5740.606899,6118.515295,6127.731345,6137.281242,6124.782798,6237.364718,6328.218972,6756.762852,7559.295954,7867.537015,8139.930023,8799.769018,9171.967862,9383.184771,9823.536989,10123.34398,9878.206974,9628.795107,9623.86868,9592.130831,9113.474853,9314.225009,9246.723753,9317.196836,9161.625047,8873.754025,9010.060596,9411.462848,8134.598272,9668.766289,11450.9169
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34870.74775,34955.55828,35990.57811,37749.20837,38518.41744,40763.38661,42317.92417,44753.95873,46678.6018,48664.53995,53921.77368,58484.1524,58138.39981,60908.03971,63578.19228,66239.46679,71656.72358,75627.24753,75193.34639,71022.30785,70627.82219,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83380.8749,85145.94364,80381.44549,86699.25199,95837.03242
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.728914,2446.015661,2491.526708,2606.575801,2732.442114,2865.227046,2988.572101,3132.592373,3267.226137,3267.432226,3364.024366,3436.37487,3514.591376,3617.40341,3802.810904,4025.109046,4273.038123,4509.210554,4794.6037,4902.610577,5079.382721,5363.987903,5814.070135,6500.876807,6920.778861,6992.127581,7345.826841,8244.933446,8669.827849,8890.462954,8110.114756,8885.241334,9683.617497
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6617.944703,6793.807941,6797.153941,7183.895866,7644.218602,8008.05893,8208.219593,8504.681479,8503.697887,8541.710725,8994.743062,9202.876484,9510.823883,9693.555482,10407.83935,10954.86026,11614.49854,12522.51594,13281.07439,13222.74888,14254.51977,14989.15778,14994.34347,15535.72377,15664.80174,14692.63231,14208.16111,14477.86177,14971.05467,15307.94124,14900.10422,16260.09875,17821.73726
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9647.546397,9565.103215,9197.459609,9461.670749,9831.026257,10216.25117,10796.82338,11484.77708,12027.96711,12213.82783,13022.00962,12965.14681,13217.20134,13717.52169,14231.07062,15202.8526,16571.63266,17307.87206,17675.1852,16824.55708,16568.36896,16749.03935,15726.2358,15747.13709,15575.95073,15947.42152,16370.74562,16198.96216,16388.59954,16631.46439,14579.09038,15177.84971,17837.45322
