"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1663665771484","","","","","","","","","","99.3230972290039","","","","","","","","99.3899993896484","","99.4100036621094","","",
"Africa Eastern and Southern","AFE","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.1285591125488","62.6794204711914","63.2463607788086","63.9967994689941","64.2307586669922","64.1722793579102","64.6803894042969","65.1083374023438","65.7467727661133","66.2277908325195","66.7993392944336","65.9518432617188","66.6118698120117","66.9863204956055","67.4132995605469","67.3112716674805","67.8479690551758","69.3600463867188","67.5315399169922","64.9570999145508","66.6568603515625","67.0466613769531","67.8989562988281","69.4254913330078","72.7835311889648","74.8060607910156","76.0195922851563","76.7195434570313","77.2994689941406","78.2538070678711","79.0594863891602","79.4833679199219","80.1875915527344","80.6124725341797","","",
"Afghanistan","AFG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","11.1428003311157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1132202148438","","","","28.9699993133545","","","","","","41.5937194824219","",
"Africa Western and Central","AFW","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","44.8557281494141","45.1749305725098","46.2822418212891","47.0256385803223","48.1507682800293","49.2145881652832","50.1364288330078","51.3374290466309","52.399040222168","53.4690589904785","53.427791595459","54.5735282897949","55.6547508239746","56.9086608886719","57.6905784606934","50.7169990539551","52.0573806762695","52.8485717773438","53.8031997680664","54.9639511108398","55.0650482177734","61.4345893859863","54.1702690124512","54.516529083252","54.3842086791992","55.1054916381836","56.0449714660645","56.9618186950684","57.5875091552734","59.0351791381836","60.2982597351074","61.092830657959","62.2268981933594","64.967170715332","65.3369216918945","65.4992523193359","","",
"Angola","AGO","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.1821212768555","","","","","","","","","","","","","70.5851287841797","","","","","","","79.8000030517578","",
"Albania","ALB","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4980773925781","","","","99.4899978637695","","","99.1213226318359","96.6100006103516","","98.8562393188477","99.0201873779297","","","","","","99.629997253418","","","99.8199996948242","",
"Andorra","AND","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","48.9710311889648","49.5600509643555","50.2281494140625","51.0747909545898","52.0484580993652","53.1298294067383","53.6930084228516","55.2446784973145","56.752498626709","58.2576293945313","59.5555191040039","60.9515800476074","62.2888488769531","63.7248001098633","65.3722915649414","66.7134399414063","66.0199508666992","67.3156661987305","68.5595474243164","70.0042037963867","71.2140197753906","72.3009033203125","73.4485626220703","74.5006637573242","75.6920623779297","77.0740203857422","77.2398986816406","78.2870864868164","78.8430023193359","78.2923278808594","79.2794494628906","80.1255569458008","77.11572265625","77.7038421630859","78.157112121582","82.5687637329102","83.3496017456055","84.5790863037109","81.2623901367188","83.6851577758789","84.4686279296875","80.5525665283203","80.7407531738281","80.9257736206055","","",
"United Arab Emirates","ARE","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","56.276969909668","","","","","","","","","","84.514289855957","","","","","","","","","","","","","","","","","","","","97.0017395019531","","","","","","","","","","","","","","97.9253997802734","","99.5856018066406","",
"Argentina","ARG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.3024826049805","","","","","","","","","","","98.5402069091797","","","","","","","","","","99.1276702880859","","","","","99.5035705566406","","","99.6967315673828","99.5886688232422","99.7114486694336","99.6142807006836","99.5981216430664","99.4023971557617","99.6435012817383","99.6289291381836","","99.7576522827148","","","","",
